bnds,year,height,lat_bnds,lon_bnds,tas,climatology
1.0,2041,2.0,-0.5,179.375,278.84378,1.5195312
1.0,2042,2.0,-0.5,179.375,278.7676,1.4433594
1.0,2043,2.0,-0.5,179.375,278.9137,1.589447
1.0,2044,2.0,-0.5,179.375,278.9093,1.5850525
1.0,2045,2.0,-0.5,179.375,278.91293,1.5886841
1.0,2046,2.0,-0.5,179.375,279.00162,1.6773682
1.0,2047,2.0,-0.5,179.375,279.1194,1.7951355
1.0,2048,2.0,-0.5,179.375,278.93076,1.6065063
1.0,2049,2.0,-0.5,179.375,279.34686,2.0226135
1.0,2050,2.0,-0.5,179.375,279.11078,1.7865295
1.0,2051,2.0,-0.5,179.375,279.08014,1.7558899
1.0,2052,2.0,-0.5,179.375,279.10416,1.7799072
1.0,2053,2.0,-0.5,179.375,279.33847,2.0142212
1.0,2054,2.0,-0.5,179.375,279.13464,1.8103943
1.0,2055,2.0,-0.5,179.375,279.27573,1.951477
1.0,2056,2.0,-0.5,179.375,279.40656,2.082306
1.0,2057,2.0,-0.5,179.375,279.58145,2.2572021
1.0,2058,2.0,-0.5,179.375,279.242,1.9177551
1.0,2059,2.0,-0.5,179.375,279.39322,2.0689697
1.0,2060,2.0,-0.5,179.375,279.50772,2.1834717
1.0,2061,2.0,-0.5,179.375,279.64682,2.3225708
1.0,2062,2.0,-0.5,179.375,279.38535,2.0610962
1.0,2063,2.0,-0.5,179.375,279.4185,2.0942383
1.0,2064,2.0,-0.5,179.375,279.5149,2.1906433
1.0,2065,2.0,-0.5,179.375,279.28427,1.960022
1.0,2066,2.0,-0.5,179.375,279.33615,2.0119019
1.0,2067,2.0,-0.5,179.375,279.5045,2.1802368
1.0,2068,2.0,-0.5,179.375,279.47156,2.1473083
1.0,2069,2.0,-0.5,179.375,279.45126,2.1270142
1.0,2070,2.0,-0.5,179.375,279.37918,2.0549316
1.0,2071,2.0,-0.5,179.375,279.32925,2.005005
1.0,2072,2.0,-0.5,179.375,279.57388,2.2496338
1.0,2073,2.0,-0.5,179.375,279.72818,2.4039307
1.0,2074,2.0,-0.5,179.375,279.59143,2.2671814
1.0,2075,2.0,-0.5,179.375,279.60452,2.2802734
1.0,2076,2.0,-0.5,179.375,279.73956,2.4153137
1.0,2077,2.0,-0.5,179.375,279.94516,2.6209106
1.0,2078,2.0,-0.5,179.375,279.6718,2.3475647
1.0,2079,2.0,-0.5,179.375,279.7876,2.4633484
1.0,2080,2.0,-0.5,179.375,279.9653,2.6410522
1.0,2081,2.0,-0.5,179.375,279.72177,2.397522
1.0,2082,2.0,-0.5,179.375,279.94852,2.6242676
1.0,2083,2.0,-0.5,179.375,279.97812,2.6538696
1.0,2084,2.0,-0.5,179.375,279.72464,2.4003906
1.0,2085,2.0,-0.5,179.375,279.83038,2.506134
1.0,2086,2.0,-0.5,179.375,280.015,2.6907654
1.0,2087,2.0,-0.5,179.375,279.64374,2.3194885
1.0,2088,2.0,-0.5,179.375,279.80838,2.4841309
1.0,2089,2.0,-0.5,179.375,280.0589,2.7346497
1.0,2090,2.0,-0.5,179.375,280.02444,2.7001953
1.0,2091,2.0,-0.5,179.375,279.72916,2.4049072
1.0,2092,2.0,-0.5,179.375,279.82605,2.5018005
1.0,2093,2.0,-0.5,179.375,279.77536,2.4511108
1.0,2094,2.0,-0.5,179.375,279.93576,2.6115112
1.0,2095,2.0,-0.5,179.375,280.2393,2.915039
1.0,2096,2.0,-0.5,179.375,279.8371,2.512848
1.0,2097,2.0,-0.5,179.375,279.962,2.6377563
1.0,2098,2.0,-0.5,179.375,280.06366,2.7394104
1.0,2099,2.0,-0.5,179.375,279.76102,2.4367676
1.0,2100,2.0,-0.5,179.375,279.99762,2.6733704
2.0,1850,2.0,0.5,180.625,277.22864,-0.09561157
2.0,1851,2.0,0.5,180.625,277.0354,-0.28884888
2.0,1852,2.0,0.5,180.625,277.2297,-0.09454346
2.0,1853,2.0,0.5,180.625,277.317,-0.0072631836
2.0,1854,2.0,0.5,180.625,277.14392,-0.18032837
2.0,1855,2.0,0.5,180.625,277.11798,-0.20626831
2.0,1856,2.0,0.5,180.625,277.32153,-0.0027160645
2.0,1857,2.0,0.5,180.625,277.4718,0.14755249
2.0,1858,2.0,0.5,180.625,277.28098,-0.043273926
2.0,1859,2.0,0.5,180.625,277.32846,0.004211426
2.0,1860,2.0,0.5,180.625,277.1768,-0.14746094
2.0,1861,2.0,0.5,180.625,277.06512,-0.25912476
2.0,1862,2.0,0.5,180.625,277.2293,-0.094940186
2.0,1863,2.0,0.5,180.625,277.20972,-0.11453247
2.0,1864,2.0,0.5,180.625,277.33875,0.01449585
2.0,1865,2.0,0.5,180.625,277.31277,-0.011474609
2.0,1866,2.0,0.5,180.625,277.40802,0.08377075
2.0,1867,2.0,0.5,180.625,277.30685,-0.01739502
2.0,1868,2.0,0.5,180.625,277.28595,-0.03829956
2.0,1869,2.0,0.5,180.625,277.3715,0.04724121
2.0,1870,2.0,0.5,180.625,277.43475,0.11050415
2.0,1871,2.0,0.5,180.625,277.39047,0.066223145
2.0,1872,2.0,0.5,180.625,277.3213,-0.002960205
2.0,1873,2.0,0.5,180.625,277.38293,0.058685303
2.0,1874,2.0,0.5,180.625,277.2969,-0.02734375
2.0,1875,2.0,0.5,180.625,277.44577,0.121520996
2.0,1876,2.0,0.5,180.625,277.22687,-0.09738159
2.0,1877,2.0,0.5,180.625,277.32098,-0.0032653809
2.0,1878,2.0,0.5,180.625,277.26508,-0.059173584
