year,height,tas,climatology
2002,2.0,286.48636139020726,0.9655736513766442
2003,2.0,286.5527793763314,1.0319916375007665
2004,2.0,286.5085766709153,0.9877889320846975
2005,2.0,286.60075366363736,1.0799659248067428
2006,2.0,286.5405352480286,1.0197475091979982
2007,2.0,286.71698189111976,1.196194152289138
2008,2.0,286.68731388191475,1.166526143084127
2009,2.0,286.70125641228015,1.1804686734495249
2010,2.0,286.7411135149201,1.220325776089453
2011,2.0,286.6830702819125,1.162282543081858
2012,2.0,286.77396533357336,1.2531775947427377
2013,2.0,286.75293055821044,1.232142819379817
2014,2.0,286.8055066096431,1.284718870812469
2015,2.0,286.9118915457743,1.391103806943704
2016,2.0,286.8476063835416,1.3268186447109542
2017,2.0,286.96857132040185,1.4477835815712297
2018,2.0,287.10907809795157,1.588290359120947
2019,2.0,287.04131681174357,1.5205290729129501
2020,2.0,286.9650880423084,1.444300303477803
2021,2.0,286.96422151835463,1.443433779524014
2022,2.0,287.05885011859306,1.5380623797624366
2023,2.0,287.0874012760158,1.5666135371851624
2024,2.0,287.20656169669456,1.685773957863944
2025,2.0,287.305112058335,1.7843243195043783
2026,2.0,287.29542528306365,1.7746375442330304
2027,2.0,287.3371465479601,1.8163588091294969
2028,2.0,287.38545775112567,1.8646700122950506
2029,2.0,287.46436714939625,1.9435794105656328
2030,2.0,287.3922331849713,1.871445446140683
2031,2.0,287.38004358777533,1.8592558489447129
2032,2.0,287.38071596721846,1.8599282283878438
2033,2.0,287.58937089371335,2.068583154882731
2034,2.0,287.6235556031507,2.1027678643200716
2035,2.0,287.6150906485566,2.094302909725968
2036,2.0,287.64171810034827,2.120930361517651
2037,2.0,287.6444249703563,2.123637231525663
2038,2.0,287.64010330231395,2.119315563483326
2039,2.0,287.7577470361112,2.2369592972805776
2040,2.0,287.58177726339136,2.060989524560739
2041,2.0,287.7527111463226,2.2319234074919905
2042,2.0,287.8675781212374,2.346790382406766
2043,2.0,287.87046425666637,2.3496765178357464
2044,2.0,287.9291656975935,2.4083779587628555
2045,2.0,287.8758662034604,2.3550784646297984
2046,2.0,287.93053834760303,2.4097506087724128
2047,2.0,288.0545657661992,2.5337780273685553
2048,2.0,288.0859754715569,2.565187732726258
2049,2.0,288.214811975702,2.694024236871371
2050,2.0,288.1698791660359,2.649091427205292
2051,2.0,288.27936175113496,2.7585740123043365
2052,2.0,288.29600759251355,2.775219853682927
2053,2.0,288.1622295979639,2.6414418591332947
2054,2.0,288.2136820609448,2.692894322114171
2055,2.0,288.42148531585286,2.9006975770222425
2056,2.0,288.4062509269864,2.885463188155768
2057,2.0,288.47749630137895,2.9567085625483287
2058,2.0,288.50015797165696,2.9793702328263407
2059,2.0,288.3829653407721,2.8621776019414824
2060,2.0,288.42595340017573,2.9051656613451087
2061,2.0,288.4458387040879,2.9250509652572987
2062,2.0,288.49781727701765,2.9770295381870255
2063,2.0,288.4585055179947,2.9377177791640747
2064,2.0,288.5428287265647,3.0220409877341012
2065,2.0,288.65022969975485,3.1294419609242254
2066,2.0,288.46571435103067,2.9449266122000495
2067,2.0,288.5988159955145,3.078028256683865
2068,2.0,288.7609155708266,3.2401278319960056
2069,2.0,288.82420940004494,3.3034216612143155
2070,2.0,288.8181915880925,3.2974038492618547
2071,2.0,288.97652595958493,3.455738220754313
2072,2.0,288.7817840296573,3.260996290826654
2073,2.0,288.741093211765,3.220305472934399
2074,2.0,289.00805291684065,3.487265178010034
2075,2.0,288.88279095437736,3.3620032155467356
2076,2.0,288.9078719049757,3.387084166145087
2077,2.0,289.1107863746747,3.589998635844097
2078,2.0,289.0731974809885,3.552409742157863
2079,2.0,289.06419240050377,3.5434046616731507
2080,2.0,289.133722447439,3.6129347086084067
2081,2.0,289.16240682278595,3.6416190839553337
2082,2.0,289.1992662704013,3.678478531570704
2083,2.0,289.1757429154781,3.6549551766474906
2084,2.0,289.33720436837837,3.8164166295477457
2085,2.0,289.3183073013673,3.7975195625367064
2086,2.0,289.2708326779911,3.750044939160489
2087,2.0,289.32465130383076,3.8038635650001424
2088,2.0,289.2710443480704,3.750256609239784
2089,2.0,289.2519469239804,3.7311591851498065
2090,2.0,289.4081115329985,3.8873237941678553
2091,2.0,289.46710301761397,3.946315278783345
2092,2.0,289.3161407449485,3.795353006117864
2093,2.0,289.3099586534176,3.7891709145869754
2094,2.0,289.450081081634,3.929293342803362
2095,2.0,289.46482708186664,3.9440393430360245
2096,2.0,289.3616734570354,3.840885718204788
2097,2.0,289.4418285552074,3.921040816376774
2098,2.0,289.559699116719,4.0389113778883825
2099,2.0,289.56244514647193,4.04165740764131
2100,2.0,289.4460608785956,3.925273139764954
