year,month,value
1784,11,-0.929
1784,12,-0.801
1785,1,-0.807
1785,2,-0.885
1785,3,-0.865
1785,4,-0.848
1785,5,-0.751
1785,6,-0.884
1785,7,-1.046
1785,8,-1.031
1785,9,-0.655
1785,10,-0.52
1785,11,-0.406
1785,12,-0.503
1786,1,-0.441
1786,2,-0.432
1786,3,-0.261
1786,4,-0.217
1786,5,-0.441
1786,6,-0.56
1786,7,-0.316
1786,8,-0.233
1786,9,-0.29
1786,10,-0.384
1786,11,-0.376
1786,12,-0.314
1787,1,-0.452
1787,2,-0.55
1787,3,-0.758
1787,4,-0.816
1787,5,-0.677
1787,6,-0.475
1787,7,-0.725
1787,8,-0.689
1787,9,-0.739
1787,10,-0.667
1787,11,-0.731
1787,12,-0.755
1788,1,-0.515
1788,2,-0.438
1788,3,-0.295
1788,4,-0.154
1788,5,-0.04
1788,6,-0.287
1788,7,-0.055
1788,8,-0.139
1788,9,-0.17
1788,10,-0.25
1788,11,-0.199
1788,12,-0.266
1789,1,-0.379
1789,2,-0.43
1789,3,-0.413
1789,4,-0.521
1789,5,-0.536
1789,6,-0.169
1789,7,-0.168
1789,8,-0.082
1789,9,-0.027
1789,10,-0.069
1789,11,-0.145
1789,12,-0.116
1790,1,-0.265
1790,2,-0.311
1790,3,-0.374
1790,4,-0.336
1790,5,-0.429
1790,6,-0.449
1790,7,-0.416
1790,8,-0.408
1790,9,-0.351
1790,10,-0.203
1790,11,-0.196
1790,12,-0.222
1791,1,-0.215
1791,2,-0.174
1791,3,-0.174
1791,4,-0.229
1791,5,-0.142
1791,6,-0.155
1791,7,-0.418
1791,8,-0.398
1791,9,-0.469
1791,10,-0.528
1791,11,-0.425
1791,12,-0.336
1792,1,-0.235
1792,2,-0.335
1792,3,-0.25
1792,4,-0.259
1792,5,-0.36
1792,6,-0.377
1792,7,-0.28
1792,8,-0.198
1792,9,-0.14
1792,10,-0.064
1792,11,-0.11
1792,12,-0.183
1793,1,-0.194
1793,2,-0.131
1793,3,-0.199
1793,4,-0.161
1793,5,-0.128
1793,6,-0.24
1793,7,-0.046
1793,8,-0.179
1793,9,-0.103
1793,10,-0.097
1793,11,0.02
1793,12,-0.067
1794,1,-0.197
1794,2,-0.179
1794,3,-0.098
1794,4,-0.033
1794,5,0.008
1794,6,0.113
1794,7,0.065
1794,8,0.205
1794,9,0.194
1794,10,0.245
1794,11,0.202
1794,12,0.243
1795,1,0.392
1795,2,0.423
1795,3,0.271
1795,4,0.195
1795,5,0.171
1795,6,0.215
1795,7,0.273
1795,8,0.179
1795,9,-0.067
1795,10,-0.22
1795,11,-0.281
1795,12,-0.147
1796,1,-0.193
1796,2,-0.13
1796,3,-0.023
1796,4,0.051
1796,5,0.031
1796,6,-0.19
1796,7,-0.115
1796,8,0.093
1796,9,0.199
1796,10,0.147
1796,11,0.074
1796,12,0.033
1797,1,-0.013
1797,2,-0.074
1797,3,-0.07
1797,4,-0.096
1797,5,-0.154
1797,6,0.038
1797,7,-0.106
1797,8,-0.345
1797,9,-0.181
1797,10,-0.104
1797,11,-0.049
1797,12,-0.106
1798,1,-0.007
1798,2,0.082
1798,3,0.024
1798,4,0.0
1798,5,0.108
1798,6,-0.01
1798,7,-0.08
1798,8,-0.27
1798,9,-0.53
1798,10,-0.493
1798,11,-0.489
1798,12,-0.466
1799,1,-0.507
1799,2,-0.625
1799,3,-0.584
1799,4,-0.522
1799,5,-0.476
1799,6,-0.505
1799,7,-0.536
1799,8,-0.416
1799,9,-0.34
1799,10,-0.284
1799,11,-0.339
1799,12,-0.36
1800,1,-0.411
1800,2,-0.407
1800,3,-0.474
1800,4,-0.473
1800,5,-0.526
1800,6,-0.364
1800,7,-0.221
1800,8,-0.111
1800,9,0.097
1800,10,-0.023
1800,11,0.135
1800,12,0.114
1801,1,0.178
1801,2,0.102
1801,3,0.172
1801,4,0.263
1801,5,0.25
1801,6,0.338
1801,7,0.39
1801,8,0.461
1801,9,0.45
1801,10,0.551
1801,11,0.365
1801,12,0.404
1802,1,0.382
1802,2,0.443
1802,3,0.464
1802,4,0.372
1802,5,0.32
1802,6,0.181
1802,7,-0.072
1802,8,-0.27
1802,9,-0.398
1802,10,-0.37
1802,11,-0.251
1802,12,-0.235
1803,1,-0.203
1803,2,-0.1
1803,3,-0.081
1803,4,-0.025
1803,5,0.028
1803,6,0.009
1803,7,0.092
1803,8,0.069
1803,9,-0.008
1803,10,0.025
1803,11,0.056
1803,12,0.042
1804,1,0.133
1804,2,0.084
1804,3,0.088
1804,4,0.005
1804,5,0.092
1804,6,0.069
1804,7,0.134
1804,8,0.203
1804,9,0.344
1804,10,0.255
1804,11,0.191
1804,12,0.225
1805,1,0.134
1805,2,0.222
1805,3,0.19
1805,4,0.06
1805,5,-0.143
1805,6,0.014
1805,7,0.029
1805,8,0.055
1805,9,-0.032
1805,10,-0.072
1805,11,-0.031
1805,12,-0.165
1806,1,-0.222
1806,2,-0.264
1806,3,-0.212
1806,4,-0.125
1806,5,-0.061
1806,6,-0.09
1806,7,-0.269
1806,8,-0.24
1806,9,-0.254
1806,10,-0.344
1806,11,-0.563
1806,12,-0.491
1807,1,-0.472
1807,2,-0.572
1807,3,-0.575
1807,4,-0.539
1807,5,-0.457
1807,6,-0.426
1807,7,-0.418
1807,8,-0.521
1807,9,-0.553
1807,10,-0.522
1807,11,-0.503
1807,12,-0.506
1808,1,-0.482
1808,2,-0.518
1808,3,-0.579
1808,4,-0.618
1808,5,-0.753
1808,6,-1.0
1808,7,-1.066
1808,8,-1.162
1808,9,-1.233
1808,10,-1.192
1808,11,-1.181
1808,12,-1.206
1809,1,-1.35
1809,2,-1.344
1809,3,-1.404
1809,4,-1.396
1809,5,-1.508
1809,6,-1.427
1809,7,-1.399
1809,8,-1.276
1809,9,-1.131
1809,10,-1.211
1809,11,-1.229
1809,12,-1.333
1810,1,-1.344
1810,2,-1.413
1810,3,-1.516
1810,4,-1.645
1810,5,-1.567
1810,6,-1.547
1810,7,-1.517
1810,8,-1.703
1810,9,-1.791
1810,10,-1.846
1810,11,-1.8
1810,12,-1.732
1811,1,-1.757
1811,2,-1.662
1811,3,-1.613
1811,4,-1.604
1811,5,-1.648
1811,6,-1.561
1811,7,-1.534
1811,8,-1.534
1811,9,-1.681
1811,10,-1.617
1811,11,-1.637
1811,12,-1.693
1812,1,-1.518
1812,2,-1.355
1812,3,-1.358
1812,4,-1.299
1812,5,-1.208
1812,6,-1.399
1812,7,-1.616
1812,8,-1.448
1812,9,-1.459
1812,10,-1.359
1812,11,-1.197
1812,12,-1.097
1813,1,-1.103
1813,2,-1.298
1813,3,-1.143
1813,4,-1.077
1813,5,-0.896
1813,6,-0.826
1813,7,-0.563
1813,8,-0.598
1813,9,-0.558
1813,10,-0.648
1813,11,-0.83
1813,12,-0.856
1814,1,-1.005
1814,2,-1.024
1814,3,-1.161
1814,4,-1.246
1814,5,-1.244
1814,6,-0.914
1814,7,-0.909
1814,8,-0.872
1814,9,-0.786
1814,10,-0.826
